word,count,language
ripped,58,Ruby
negation,13,Ruby
invalidate,78,Ruby
crude,45,Ruby
danger,43,JavaScript
discourage,11,C++
drastic,34,JavaScript
fake,129,C
erroneous,15,C
fall,115,C++
sloppy,43,Ruby
https://issues.griddynamics.net/browse/jfg-152,12,Java
untested,244,C
greedy,45,Python
accidental,12,Objective-C
dumped,93,JavaScript
enemy,247,JavaScript
breaks,111,JavaScript
abort,26,C#
panic,19,C++
false,64,Java
dumb,179,Ruby
hum,33,PHP
collapse,110,PHP
rogue,19,Python
primitive,41,C#
break,366,PHP
arbitrary,54,JavaScript
exploit,24,Ruby
knock,13,C++
fist,50,C++
dead,110,Python
brute,47,C
blow,12,Java
flee,14,C#
buggy,88,Python
invalid,193,Python
cave,14,JavaScript
unfortunately,31,Java
unstable,90,C++
needless,20,Ruby
grundgerüst,24,Java
odd,40,Ruby
wine-unstable,21,C
scrap,33,Python
throttle,43,Python
omit,24,Objective-C
fist,71,PHP
ugh,191,PHP
mocks,49,PHP
insignificant,45,JavaScript
fuck,159,Objective-C
http://issues.nfractals.com:8080/browse/peloton-1028,19,JavaScript
stupid,176,C#
downgrade,61,C#
unwanted,51,Ruby
chore(ngdocs,91,JavaScript
accidental,44,Java
invalid,30,Shell
rip,17,C#
chore,334,Ruby
superfluous,12,C++
errant,29,JavaScript
death,59,C#
rift,13,C++
defensive,115,Java
funny,22,C
decline,14,Python
nitpick,13,Ruby
fake,284,Python
shit,124,C
conflict,156,C#
redundant,72,C
noise,21,Ruby
fail,158,Shell
die,262,JavaScript
false,31,C++
bumping,231,C#
static,116,Objective-C
bomb,96,JavaScript
kills,17,Ruby
implode,28,PHP
unwanted,88,Java
bugs,254,Objective-C
blame,18,Java
invalid,20,Objective-C
struggling,45,Java
useless,167,Ruby
miscellaneous,143,C++
accidental,35,PHP
de-dupe,14,Ruby
isolate,52,C++
accidental,37,Python
conflict,206,C
obscure,13,JavaScript
invalidate,19,C#
limit,140,Shell
project/my_code/limits.h,12,C
bug-fix,131,C++
blah,251,Shell
mocking,42,Ruby
decrement,31,JavaScript
miscellaneous,45,Shell
expire,38,PHP
defects,14,Ruby
ugh,77,Objective-C
limits,29,C++
issues,73,C++
restrict,30,Objective-C
pointless,13,Shell
obsolete,76,C++
latency,25,JavaScript
bug-fix,61,Ruby
gnome-inhibit,27,Python
obsolete,49,C
fail,73,C#
problems,173,C++
pimple,34,PHP
desperate,47,JavaScript
garbage,24,Shell
isolate,76,Python
dumping,14,Shell
miss,33,C++
dumping,85,JavaScript
bored,14,Java
poor,45,Ruby
invalid,86,C
incorrect,26,Shell
lame,107,JavaScript
crude,33,PHP
unfinished,185,Python
lag,27,PHP
leak,51,Objective-C
darken,36,Python
messed,308,Java
bad,273,C
missed,237,Objective-C
miss,148,JavaScript
messy,102,JavaScript
insanely,13,Python
curse,17,Ruby
hard-coded,60,JavaScript
unexpected,33,JavaScript
harden,84,Python
sneaky,13,Java
rdar://problem/11374963,20,C++
script/scratch/add_missing_phenotype_tags.rb,16,JavaScript
punch,60,JavaScript
collapse,139,Ruby
tout,24,Ruby
screwed,48,Python
chaos,19,Python
hate,56,JavaScript
slowly,96,Ruby
isolated,36,PHP
creeps,15,C++
rip,126,C++
issues,65,C#
bash-completion,26,Shell
err,86,PHP
attack,97,Python
shit,154,C++
rogue,30,Ruby
torrent,19,Ruby
expunge,13,Python
static,106,Shell
unstable,85,Python
carp,64,C
lisäsin,33,Java
critical,102,C++
limited,183,Ruby
messy,36,C
naive,160,Java
exclusion,93,Java
unstable,120,PHP
bs,14,C++
blah,261,Objective-C
isolate,56,C
destroy,126,Java
invalidate,39,PHP
overzealous,13,JavaScript
rude,16,Python
violation,32,Java
frozen,34,JavaScript
slow,14,Shell
false,80,PHP
undid,239,Java
sin,16,Shell
wip][issue,73,Ruby
sad,11,Objective-C
extraneous,26,Python
bored,13,Ruby
rip,48,PHP
rogue,57,JavaScript
suppression,169,Shell
failed,219,Ruby
expired,29,Java
growl,55,JavaScript
bug/major,18,C
strange,33,C#
incompatible,13,C
damn,379,PHP
bash,97,C++
confused,34,JavaScript
damage,46,JavaScript
invalid,273,JavaScript
stole,26,Shell
isolate,161,JavaScript
fiasco.oc,51,C++
lazy,305,Ruby
st,361,Ruby
suppression,69,Objective-C
bug-fix:major,21,C++
falling,48,Java
troubles,12,C++
crash,262,Java
radical,45,JavaScript
evil,14,C#
messing,119,C#
tired,34,Python
dark,29,Shell
darker,14,Shell
rip,65,Python
sass,14,Java
suppression,210,Ruby
object.c,70,Ruby
lazy-load,12,PHP
suck,17,Java
chore(rakefile,51,JavaScript
flee,13,Java
defect,93,JavaScript
sorry,166,C
screwed,28,PHP
trash,45,Shell
subversion/libsvn_wc/wc_db.c,18,C
dragging,17,PHP
grim,546,C++
critical,101,PHP
zap,29,Ruby
errant,36,PHP
suppress,73,C#
grim/movie,29,C++
fudge,23,Ruby
complain,14,Java
loose,80,JavaScript
stun,14,C
dirty,241,Python
subversion/tests/cmdline/update_tests.py,21,C
zap,42,Python
sin,121,Ruby
urgent,26,Ruby
throttle,52,C++
dragging,40,C++
obsolete,108,PHP
alarm/xf86-video-dove,11,Shell
ugly,132,C++
hell,23,C
unstable,252,Java
isolate,148,Ruby
paranoid,42,Java
cloud,116,Ruby
dumping,64,Python
restricted,117,Java
blame,18,Python
issues,150,Python
stress,46,Java
bitch,22,Java
sin,100,PHP
bloody,38,Python
limited,96,C++
dead,63,Ruby
dragging,221,JavaScript
hell,28,PHP
bugs,217,Shell
sneaky,29,Ruby
db/loot,304,C++
nitpick,39,JavaScript
defect,19,C#
scratch,37,C
freeze,195,JavaScript
blur,29,Ruby
unable,18,C++
backward,37,Ruby
freezing,41,JavaScript
scratch,14,C#
attack,102,JavaScript
buggy,40,PHP
ugh,120,Shell
non-static,23,Java
svn:ignore,13,Java
subversion,64,Shell
stupid,265,Shell
ugly,149,PHP
sever,16,JavaScript
mistakenly,18,Python
failing,97,C#
testy,57,C++
confused,17,PHP
scrap,16,C++
delay,57,C#
bogus,35,Python
backward,78,JavaScript
darker,14,C++
tricky,20,JavaScript
breaking,52,Shell
incomplete,24,Shell
freeze,33,C
rust,87,Ruby
expired,19,PHP
unstable,26,C#
leak,22,Java
warning,90,C#
abort,85,Java
conflicts,109,C
darker,13,C
miscellaneous,176,Java
omit,105,C
drastically,16,C
wrongly,12,PHP
die,107,Ruby
chore,180,C
subversion/tests/libsvn_wc/op-depth-test.c,32,C
slug,113,JavaScript
trouble,42,PHP
webdav/st,274,JavaScript
evil,34,Ruby
testy,100,JavaScript
beware,13,C
unnecessary,125,C
conflicting,17,Ruby
crude,35,C++
strange,122,PHP
fake,101,C++
unresolved,11,C
pinch,33,Objective-C
exclusion,30,Python
vibrate,30,Java
hacks,113,JavaScript
volatile,14,C
pan,104,JavaScript
randomly,48,Python
false,11,Shell
mistake,158,Python
splitting,77,C#
negative,60,C++
noise,51,Java
broke,66,Objective-C
db/gossip,87,C++
garbage,119,JavaScript
messed,141,PHP
unstable,75,C
cheat,30,Python
omit,223,JavaScript
enable/disable,92,JavaScript
crafty,51,JavaScript
broken,86,Shell
bogus,14,Shell
shit,203,Ruby
hacks,68,C++
bs,18,C
creeps,28,Python
torrent,78,JavaScript
leak,62,C++
odd,81,JavaScript
deny,39,Java
hung,99,Java
smoke,16,C#
bug-fixes,18,Python
undone,21,Ruby
strike,46,JavaScript
restricted,14,Objective-C
fuck,203,C#
core/static,11,PHP
fault,24,Python
mangle,12,JavaScript
complex.c,33,Ruby
forbidden,24,JavaScript
abort,46,Shell
hell,50,Ruby
ugly,29,Objective-C
disallow,227,Ruby
squash,89,Shell
engine]issue,16,C
monster,85,C++
ripped,19,C
deny,34,JavaScript
incomplete,71,C#
hard-coded,32,Java
dies,48,Java
hardened,44,Python
killing,69,PHP
hack,150,C#
breaks,22,C++
hell,61,Java
desert,12,Java
worst,21,Ruby
scramble,31,Java
limits,63,JavaScript
chore(license,27,JavaScript
hard-code,46,Ruby
vagrant,24,Java
alarm,32,Objective-C
limited,167,Java
latency,29,Java
lemon,15,JavaScript
damage,46,C#
idle,17,C#
stuck,57,Java
passive,35,JavaScript
audacity,37,Shell
slap,18,Python
delayed,167,JavaScript
failed,40,Objective-C
scratch,26,PHP
hard-coded,24,Python
reject,125,C++
mad,44,Ruby
hell,85,JavaScript
ghetto,56,JavaScript
crush,13,Ruby
git-ignore,11,C
invalidate,59,C
leak,69,C
unsure,12,C
primitive,141,JavaScript
complain,22,Ruby
err,110,Ruby
critical,117,Python
loose,34,C
odd,20,C#
tempest,13,Python
confused,39,Ruby
unknown,78,C
unwanted,85,JavaScript
info756/2012-fall,26,JavaScript
fuzzy,100,JavaScript
screwed,65,JavaScript
killing,95,Python
negative,49,C
skeletons,31,Java
hacks,29,PHP
break,136,Shell
damn,135,C++
bug:fix,52,C#
simplistic,11,Java
strict,75,C++
fake,49,C#
bullshit,15,Ruby
brute,37,JavaScript
failed,121,PHP
invalid,197,Ruby
trap,38,C
incorrect,309,JavaScript
unneeded,100,Python
rift,11,Java
breaks,25,C
junk,23,C#
killing,182,JavaScript
mess,32,C++
weird,138,C++
pan,72,Ruby
crap,30,C++
alarm,47,Python
confusing,21,Ruby
bomb,34,Python
dark,18,Objective-C
frozen,25,Python
dumped,79,PHP
confusing,34,JavaScript
primitive,43,PHP
st/dri,11,C
sad,130,Ruby
crude,91,Python
isolation,12,C++
omit,174,Ruby
redundant,82,C#
growl,39,Ruby
tank,15,Python
obstacle,23,C
bullshit,50,Java
obsessive,14,JavaScript
pretend,20,Python
mess,68,Python
stab,33,JavaScript
messing,104,Objective-C
fib,22,Ruby
subversion,177,Ruby
deny,44,Ruby
vagrant,127,Python
stupid,145,Objective-C
undefined,39,Java
scary,20,JavaScript
attacks,15,Python
coerce,92,Python
unneeded,69,Ruby
mirage,22,Shell
symptom,14,JavaScript
vanity,23,Python
cheap,26,JavaScript
useless,50,C#
failing,114,PHP
vanity,26,Ruby
invalid,64,C++
guile,20,Shell
drastically,29,Java
crashing,11,C++
complain,30,C
grim/emi,16,C++
scratch,63,Java
incompatible,12,JavaScript
screwed,12,Shell
cheating,16,Java
monster,47,C#
alarm,29,C++
deadlock,77,Java
pointless,73,JavaScript
sick,21,Ruby
bitch,16,C
danger,19,Ruby
nitpicking,57,Python
sin,111,Java
hard,112,C
common-src/glib-util.c,42,C
unsupported,11,C++
rogue,22,C++
unexpected,12,Ruby
fall,198,Python
darker,17,Objective-C
trap,12,C#
fib,15,C++
cheat,17,C
trap,41,Java
attack,26,C
lose,98,JavaScript
guile,43,C
reject,66,Java
failure,75,Ruby
devil,41,Ruby
unsafe,27,Java
problems,71,C#
trick,26,Ruby
lost,25,Shell
shake,36,Objective-C
dirty,147,PHP
tanks,18,C#
falling,24,C++
killed,149,Ruby
slug,116,Python
backward-incompatible,15,Python
enable/disable,51,C++
lost,49,C#
unsure,22,C++
lose,11,Shell
problems,25,Shell
fake,48,Shell
snag,15,JavaScript
badly,11,Python
leer,27,Java
stuck,50,Python
overloaded,69,Java
mock,51,C#
rip,11,Objective-C
difficulty,38,JavaScript
cloud,72,PHP
stuck,147,Ruby
crappy,44,Java
undid,139,C
death,37,C
shake,82,JavaScript
nasty,54,JavaScript
evil,19,PHP
kill,289,Shell
limits,12,C
isolated,31,C
drag-n-drop,20,JavaScript
steal,13,PHP
http://issues.liferay.com/browse/maven-39,14,Java
errors,49,Objective-C
subversion/libsvn_client/patch.c,16,C
lame,13,C
yawn,17,JavaScript
crappy,46,Python
terrible,33,Python
messy,25,C++
tentative,120,C
glib,29,C++
revoke,13,Java
case-insensitive,24,JavaScript
miscellaneous,116,C
crappy,33,C
unfinished,128,Ruby
junk,40,C++
incomplete,167,Python
proprietary-files,28,C
dumps,12,C++
meaningless,35,JavaScript
sloppy,15,C++
explode,68,Java
weird,159,PHP
loot,30,C++
overdue,20,Ruby
glib,140,Ruby
crap,31,Shell
killing,98,Java
console.error,17,JavaScript
junk,52,PHP
fist,23,C#
chore(resque-reports,16,Ruby
growl,17,Shell
lose,43,Python
cons,21,JavaScript
fall,30,C#
crash,179,Objective-C
trouble,97,JavaScript
stuck,41,C++
irrelevant,20,Python
silly,154,C++
shake,24,PHP
strange,43,Objective-C
fno-strict-aliasing,11,C
rip,133,Ruby
strict,56,Ruby
drag,147,PHP
pedantic,34,Python
lazy,135,C
hard,54,C#
glitch,18,C++
destroy,20,Objective-C
fall,80,C
discontinued,13,Python
cry,17,Java
obliterated,13,JavaScript
skeletons,24,Python
jolt,30,PHP
rage,28,Ruby
isolated,24,C#
die,91,C#
delay,266,Python
rant,22,JavaScript
confusing,19,Java
degrade,31,JavaScript
passive,16,C
mad,28,C++
aggressive,14,JavaScript
testy,138,Java
trick,19,C++
bug-fix,80,C
shameless,19,Shell
darker,41,Ruby
fatal,46,JavaScript
picky,14,Java
nuisance,13,Python
mysterious,18,Ruby
ghetto,14,C++
radically,29,JavaScript
fat,37,Python
activerecord::base#destroy,12,Ruby
stale,32,Ruby
ugh,123,C++
problems,95,C
nitpicking,18,Java
worst,18,C
crude,17,C#
shake,15,Ruby
pedantic,53,PHP
tank,64,JavaScript
shimmer,11,C
static-linked-ext,15,Ruby
wrong,165,Objective-C
mistakenly,38,JavaScript
refuse,17,Ruby
incorrectly,26,Python
falls,14,Java
urgent,12,C++
deluge,16,Shell
object.defineproperties,11,JavaScript
discontinued,18,Ruby
two-lame,22,Ruby
delayed,35,PHP
odd,19,C++
ghetto,15,Objective-C
sink,62,C++
picky,53,Ruby
overkill,14,Java
regression,204,PHP
chore(style,12,PHP
bug-1208,13,PHP
ti-st,12,C
lack,24,JavaScript
chore(dom,16,JavaScript
miss,35,C
brute,50,C++
fail,51,Objective-C
randomly,23,C
tentative,21,Shell
undone,18,Python
fails,22,C
erase,82,Python
unwanted,18,C#
ugly,38,C#
fist,110,Java
thicker,41,JavaScript
miss,12,C#
backward,65,Java
tout,30,C
cloud,76,Python
manipulate,17,Ruby
fails,43,JavaScript
failures,16,Java
defect,14,Objective-C
sink,15,JavaScript
junk,52,C
strike,16,Java
trick,15,PHP
destroy,116,Python
redundant,24,Objective-C
nasty,57,Ruby
err,62,Python
garbage,97,Java
odd,55,Java
cold,11,JavaScript
vice,14,JavaScript
mistakenly,13,C++
complex,63,C
knock,42,JavaScript
downgrade,65,C++
monster,44,C
killed,105,Python
accidental,29,C
marginally,19,Python
confusion,36,Java
unknown,49,C#
bin/bash,13,Shell
set-up,31,Python
death,97,Java
lost,73,C++
sad,106,Java
puppet,84,Python
hacks,16,C#
core/object,23,C++
flicker,43,JavaScript
banish,14,JavaScript
messed,67,C#
erase,52,PHP
dumped,48,Python
stress,61,JavaScript
accidental,30,Ruby
messy,48,Java
explode,17,Python
sqfsd/sdr.bash,15,Shell
vibrate,44,JavaScript
https://issues.jboss.org/browse/jbide-11546,18,Java
lost,52,C
fault,26,JavaScript
sad,892,Python
fatal,20,Ruby
regression,170,Java
complain,24,C++
wrongly,11,Java
growl,19,Python
gross,24,JavaScript
risk,52,JavaScript
chaos,31,C++
embarrassing,18,Ruby
pig,21,JavaScript
abort,147,Python
blind,17,PHP
friction,24,C++
mess,46,Java
enemies,126,JavaScript
crash,87,C#
nonsense,17,PHP
modules/programs/bash/bashrc.sh,12,Shell
problem,98,Objective-C
primitive,85,C++
creep,16,Python
mistakes,42,JavaScript
issue](#4,16,Python
sick,12,PHP
hate,49,Ruby
garbage,68,C++
glitch,52,C
provoke,14,JavaScript
loose,17,C++
tanks,28,Java
accept/reject,12,Python
freeze,20,C#
trick,38,Java
cheat,48,Java
fool,12,Ruby
weak,38,C++
crashing,18,Java
stale,17,Python
delayed,69,Java
fall,30,Shell
crazy,66,Python
chore(deps,31,JavaScript
manipulate,12,JavaScript
angry,37,JavaScript
crappy,47,Ruby
unable,79,Java
randomly,45,Ruby
limits,47,Ruby
decrement,17,C++
undid,38,Shell
restricted,100,PHP
wip)bug,23,JavaScript
naive,21,C#
reject,13,Shell
complex,35,PHP
freezing,33,Ruby
rigid,11,C++
mad,34,PHP
tentative,25,C#
rude,17,JavaScript
marginally,16,Shell
backward,12,Objective-C
crash,114,Python
killed,52,C#
idle,39,Java
attack,47,C++
damage,44,C++
drones,14,C#
pain,15,Ruby
dumb,18,C#
delayed,17,C#
inactive,26,Java
falling,29,C#
primitive,146,Java
terrible,23,Java
slowed,21,C#
sadly,15,Python
vibration,20,C
nitpicking,32,JavaScript
pig,123,Java
dump,20,Objective-C
collapse,70,C++
subversion,25,C
doom,11,JavaScript
fails,29,Ruby
negative,44,PHP
terrible,44,Ruby
complex,55,C#
insecure,24,C
plot,42,Objective-C
slave,36,Java
blame,23,C
improper,16,PHP
page-breaking,19,Ruby
st.c,33,Ruby
lame,25,Java
damn,142,Shell
gossip,15,Ruby
mistake,38,Shell
set-up,23,Java
sneak,14,Java
debug=false,20,Python
defect,66,Java
cloud,167,Java
unknown,15,Shell
chore(nganimate,11,JavaScript
bogus,25,C
failure,36,Python
weird,53,Objective-C
sorry,43,Objective-C
st,53,PHP
incorrectly,38,JavaScript
dumps,11,C#
subversion/tests/cmdline/merge_tests.py,17,C
flagging,27,PHP
invalidate,116,Java
dead,44,PHP
stealing,13,Ruby
testy,47,PHP
nettle,17,Shell
latency,12,Ruby
hardened,28,PHP
sin,46,C++
cloud,12,Shell
dump,52,C#
mocking,36,PHP
unneeded,135,JavaScript
lure,21,C++
torrent,25,Java
unimportant,15,PHP
mistakes,17,Java
accidental,81,JavaScript
embarrassing,12,JavaScript
garbage,12,Objective-C
strange,130,Python
slower,31,Java
die,90,C++
overloaded,27,C#
plot,55,Shell
hardened,15,Shell
bogus,42,JavaScript
rubbish,12,JavaScript
sloppy,36,JavaScript
punch,19,Java
needless,11,Java
ax,18,JavaScript
ghetto,39,Ruby
dumping,31,Java
crash,167,C
cons,12,C
annoyance,12,Ruby
horrible,60,JavaScript
problem,54,Shell
poor,13,PHP
dying,13,Java
overdue,14,PHP
sorry,57,C#
steal,36,C
slowly,53,C#
undefined,45,C++
dim,32,C
unneeded,91,PHP
confused,16,Python
fall,26,Objective-C
poor,62,JavaScript
irrelevant,34,Java
delaying,26,JavaScript
unsupported,20,Java
unsupported,19,JavaScript
faulty,22,JavaScript
deny,14,C
crazy,78,Ruby
disallow,31,C#
plague,24,Java
invalidate,35,Objective-C
strange,80,C
restricted,127,Python
spurious,30,Python
mocked,11,C++
decrement,20,Ruby
awful,19,Python
kill,80,Objective-C
funky,30,JavaScript
un-break,18,Python
silly,66,C#
damned,17,PHP
leechcraft-unstable,21,Shell
flare,50,C++
mocks,18,Java
death,68,C++
darker,35,Java
aggressive,55,C
dim,59,JavaScript
madness,24,JavaScript
issue-#1,51,Java
crap,81,Ruby
conflicts,85,Objective-C
problems,148,PHP
https://issues.jboss.org/browse/jbide-11302,21,Java
enemies,76,Python
core/dungeon,43,C++
st,29,Shell
pig,44,Python
issue-2,26,PHP
true/false,17,Ruby
emergency,101,PHP
idiot,26,PHP
revoke,33,PHP
mirage,170,PHP
dark,18,C
audacious,64,C
anti-spam,16,PHP
evil,16,Python
insignificant,29,Python
junk,77,Python
panic,62,C
ding,23,JavaScript
garbage,72,Python
prohibit,30,JavaScript
crashing,14,JavaScript
breaks,27,PHP
dungeon,36,Java
harden,27,C
dumping,77,PHP
limits,56,Python
risk,17,Ruby
dim,16,Ruby
tout,41,C++
gst-plugins-bad,27,C
cheap,19,Python
qca-swiss-army-knife,21,C
cheat,33,C++
cons,24,Python
drastic,16,PHP
collapse/expand,29,JavaScript
rough,66,C#
prohibit,35,Java
aggressive,21,Java
curse,14,Java
un-ignore,13,Java
blur,36,Java
flagging,15,JavaScript
deny,14,Shell
dragging,26,C#
expand/collapse,26,JavaScript
swagger,52,JavaScript
smash,16,Ruby
rejected,43,C++
boring,26,C++
beg,25,C++
worthless,22,JavaScript
garbage,25,C#
shit,89,Objective-C
evil,25,C
fallout,12,Shell
panic,20,JavaScript
fuzzy,38,Python
dead,85,C#
bug-fix,29,C#
wicked,15,JavaScript
killed,106,C++
waste,14,Ruby
idle,28,Python
crashing,13,C
brute,91,Python
unnecessary,43,Objective-C
nasty,66,Python
delayed,40,C++
calcs/hazard/classical/core,14,Python
wrongly,13,JavaScript
object-id,31,C
crude,16,Objective-C
burn,19,C
slap,15,Java
annoying,34,PHP
wrongly,14,Ruby
poky.conf,18,C
git-ignore,36,Java
buggy,20,Shell
chatter,40,JavaScript
tired,26,C++
messed,97,C++
crap,88,Python
unresolved,11,Ruby
cheap,31,Ruby
drastic,42,Shell
mocked,68,Ruby
die,25,Objective-C
steal,45,JavaScript
unstable,51,Ruby
bug-fixes,13,Java
unfinished,36,C#
reluctantly,15,JavaScript
forbidden,20,Python
difficulty,45,Java
audacious,33,Shell
slime,17,Java
lazy,44,Shell
unsure,39,Java
stuck,59,C
isolation,14,Java
failed,70,C#
bug-fix:minor,47,C++
tout,92,Java
rejecting,16,Java
slowed,26,Python
damage,17,Ruby
marginally,16,C++
annoying,54,Ruby
complain,54,Python
miss,23,Shell
testy,28,Python
sever,18,Java
lag,12,C
mn,40,Python
débug,11,JavaScript
issues,57,Objective-C
hard-coded,11,C
bug-fixes,14,C
fiasco.oc,31,C
crash,12,Shell
rs-mock,22,Java
erroneous,24,Python
knife,85,Ruby
froze,15,JavaScript
noisy,14,Ruby
whiny,12,Ruby
chore(pkg,20,JavaScript
hate,24,Java
brutal,12,Ruby
splitting,83,Shell
sneaky,29,JavaScript
alarm/raspberrypi-firmware,82,Shell
gst-plugins-ugly,17,Ruby
unsuccessful,14,C
rdar://problem/11457143,18,C++
bumps,27,Shell
class-dump,39,Ruby
hard-code,17,Java
belated,16,Ruby
emergency,29,C
zap,69,C++
incompatible,35,Ruby
naive,121,C++
conflicting,12,C++
grumble,13,Ruby
annoying,28,C++
primitive,39,C
blame,18,PHP
sadly,19,JavaScript
smack,11,Java
bust,30,Ruby
chore(npm,104,JavaScript
unnecessary,37,Shell
overloaded,18,JavaScript
swagger,26,Java
dust,84,JavaScript
stress,32,C
mocked,14,C#
vanity,45,PHP
chore(dependencies,28,JavaScript
break,86,Objective-C
set-up,35,JavaScript
unresolved,25,Java
bias,26,C
tentatively,29,Python
stupidly,18,Ruby
negative,70,Python
sin,25,Objective-C
disallow,193,Java
unimportant,27,C++
abolish,22,Python
confusion,27,JavaScript
tentatively,46,Java
messy,58,PHP
steal,13,C++
fuzzy,42,Java
exploit,20,Python
needless,17,C
funny,21,PHP
disregard,22,C++
lost,32,Objective-C
strictly,17,PHP
erase,15,C#
unfortunately,38,Python
unsure,21,PHP
slowed,51,C
err,54,C
faulty,12,PHP
defect,33,PHP
knife,16,Shell
mocked,68,Python
object][elf,24,C++
superficial,21,Python
blk-throttle,16,C
trick,11,Shell
dirty,37,Objective-C
junk,25,Shell
accidental,15,Shell
untested,90,Ruby
disregard,21,Python
bias,15,Python
fist,37,C
rip,22,Shell
discontinued,11,JavaScript
screwed,17,C#
slowed,38,Java
darkened,22,Ruby
slug,250,PHP
primitive,19,Objective-C
confusing,11,Python
warning,83,Shell
failing,44,C++
split)fixed,20,PHP
st,87,Java
shame,29,JavaScript
lag,32,Java
crappy,29,C++
idle,19,Ruby
disregard,17,Ruby
prohibit,11,C
pedantic,50,C++
meaningless,35,Python
desert,23,JavaScript
defensive,30,PHP
freaking,11,PHP
messing,77,Shell
sick,11,Shell
desperate,11,Java
forbid,37,C
freeze,54,C++
blur,18,Python
unwanted,32,Python
freeze,57,PHP
risk,19,Java
knife,17,Java
decay,21,C++
grumble,14,JavaScript
tentatively,17,C++
smoke,33,Ruby
bug/minor,37,C
poor,15,C#
wince,45,C
chore(ngdoc,22,JavaScript
crack,13,C
marginally,22,C
städat,18,Java
slowed,19,C++
pan,17,C
struggle,16,JavaScript
mistakes,51,Ruby
sucks,12,Python
weak,22,JavaScript
diabook-dark,21,PHP
proprietary,68,Shell
drag&drop,21,PHP
pointless,36,Ruby
hung,66,Objective-C
darken,45,Ruby
hard-coding,21,Python
trash,96,Python
twisted,22,C
idiot,26,Python
crash-handler,21,Shell
evil,19,Shell
stab,28,Ruby
bogus,11,C++
chore(app,12,JavaScript
urgent,26,Java
bs,38,Ruby
slow,55,PHP
inconsequential,14,JavaScript
fall,98,PHP
greedy,17,JavaScript
mad,32,Java
chore(config,11,JavaScript
expire,60,Python
rubbish,11,C++
fist,56,Python
fault,33,Java
superficial,16,Java
unsecure,33,Shell
fails,15,C++
scratch,12,Objective-C
overdue,35,Java
desperate,32,Python
error.c,31,Ruby
dumps,16,PHP
cave,14,Python
losing,39,JavaScript
rejecting,13,C++
expired,11,Python
losing,14,Ruby
messed,29,Objective-C
squash,29,C#
cheap,12,Shell
prohibit,14,C++
sticky,40,Java
obsessive,17,Ruby
emergency,24,C#
core/threat,11,C++
glut,50,C++
https://issues.jboss.org/browse/as7-4804,39,Java
stun,28,Java
vagrant,37,C++
sap,19,Ruby
odd,29,PHP
pinch,48,JavaScript
swipe,22,C#
glib,58,C#
beware,20,JavaScript
dungeon,24,C#
ripped,11,C#
revenge,22,JavaScript
danger,14,Java
emergency,15,Shell
extraneous,50,JavaScript
rot,11,JavaScript
bomb,25,C#
damned,19,Python
https://issues.apache.org/jira/browse/tomee-1036,25,Java
crazy,59,C++
dumped,47,Ruby
packerを使ってvagrantのbox,14,Ruby
boring,18,Python
neglected,15,Java
unsure,25,Python
restriction,22,JavaScript
unwanted,42,PHP
bug/enh,18,Python
concerns,14,Ruby
incorrectly,20,PHP
conflicting,21,Python
bloody,11,C#
bullshit,33,JavaScript
marginal,16,JavaScript
chore(demosite,31,JavaScript
suck,16,Ruby
darkness,12,C
squash,15,Objective-C
blur,36,C
kills,30,C
fails,23,Java
lazy,48,C#
tired,19,PHP
warp,18,C#
