Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population,Language
New Zealand,379365,0.089214555,8921.46,4252277,All
Switzerland,387474,0.051111199,5111.12,7581000,All
Norway,250469,0.050002296,5000.23,5009150,All
Sweden,445017,0.046569902,4656.99,9555893,All
Svalbard and Jan Mayen,115,0.045098039,4509.8,2550,All
Iceland,13355,0.043232657,4323.27,308910,All
Tonga,5156,0.042062327,4206.23,122580,All
Finland,215034,0.041005721,4100.57,5244000,All
Denmark,216220,0.039427425,3942.74,5484000,All
British Indian Ocean Territory,141,0.03525,3525,4000,All
Netherlands,572533,0.034396696,3439.67,16645000,All
Canada,1132752,0.033633778,3363.38,33679000,All
United States,10071026,0.032462796,3246.28,310232863,All
Estonia,39999,0.03097888,3097.89,1291170,All
Jersey,2774,0.030546624,3054.66,90812,All
Costa Rica,126255,0.027955901,2795.59,4516220,All
United Kingdom,1681003,0.026961425,2696.14,62348447,All
Austria,196316,0.023926386,2392.64,8205000,All
Gibraltar,593,0.021266676,2126.67,27884,All
Australia,455580,0.021174252,2117.43,21515754,All
Germany,1690577,0.02066663,2066.66,81802257,All
Belgium,211921,0.020371143,2037.11,10403000,All
Czech Republic,207180,0.019776632,1977.66,10476000,All
Slovenia,39324,0.019593423,1959.34,2007000,All
France,1220324,0.018841352,1884.14,64768389,All
Singapore,83688,0.017801908,1780.19,4701069,All
Luxembourg,8081,0.016241975,1624.2,497538,All
Latvia,31952,0.014405972,1440.6,2217969,All
New Zealand,61022,0.014350429,1435.04,4252277,JavaScript
Israel,98522,0.01339709,1339.71,7353985,All
Netherlands Antilles,1730,0.012702189,1270.22,136197,All
Portugal,131898,0.012354627,1235.46,10676000,All
Croatia,51441,0.011454242,1145.42,4491000,All
Ireland,52104,0.011270806,1127.08,4622917,All
Liechtenstein,393,0.011228571,1122.86,35000,All
Anguilla,145,0.010940094,1094.01,13254,All
Hong Kong,71107,0.010307325,1030.73,6898686,All
Bulgaria,72233,0.010104234,1010.42,7148785,All
Japan,1282970,0.010079269,1007.93,127288000,All
Lithuania,34410,0.009652174,965.22,3565000,All
Belarus,92302,0.009530408,953.04,9685000,All
New Zealand,38358,0.009020579,902.06,4252277,Python
Hungary,87838,0.008799639,879.96,9982000,All
Uruguay,29284,0.008422203,842.22,3477000,All
Poland,307653,0.007990987,799.1,38500000,All
Slovakia,43310,0.007939505,793.95,5455000,All
Mali,109394,0.007929196,792.92,13796354,All
Andorra,666,0.007928571,792.86,84000,All
Monaco,260,0.007887153,788.72,32965,All
Taiwan,174084,0.007603786,760.38,22894384,All
Greece,82661,0.007514636,751.46,11000000,All
Faroe Islands,351,0.00727793,727.79,48228,All
Tuvalu,73,0.00697097,697.1,10472,All
New Zealand,29569,0.006953686,695.37,4252277,Ruby
Romania,141346,0.006436733,643.67,21959278,All
Ukraine,288055,0.006342645,634.26,45415596,All
Norway,30501,0.006089057,608.91,5009150,JavaScript
Chile,98816,0.005900699,590.07,16746491,All
Saint Vincent and the Grenadines,606,0.00581479,581.48,104217,All
Estonia,6909,0.005350961,535.1,1291170,JavaScript
Kiribati,491,0.005306215,530.62,92533,All
United States,1628405,0.005248976,524.9,310232863,JavaScript
Venezuela,139942,0.005140537,514.05,27223228,All
Guernsey,322,0.00493653,493.65,65228,All
Bahamas,1487,0.004927267,492.73,301790,All
Saint Barthelemy,41,0.004852071,485.21,8450,All
Iceland,1471,0.004761905,476.19,308910,Python
Finland,24579,0.004687071,468.71,5244000,JavaScript
Malta,1857,0.00460794,460.79,403000,All
Italy,273981,0.004540595,454.06,60340328,All
Saint Lucia,727,0.004517717,451.77,160922,All
Spain,208630,0.004486091,448.61,46505963,All
Cuba,49929,0.004370918,437.09,11423000,All
Colombia,188440,0.004262838,426.28,44205293,All
Isle of Man,316,0.004210582,421.06,75049,All
Cyprus,4617,0.004187083,418.71,1102677,All
New Zealand,17441,0.004101567,410.16,4252277,Java
Argentina,168563,0.004077164,407.72,41343201,All
Armenia,11970,0.004033019,403.3,2968000,All
Russia,563964,0.004008216,400.82,140702000,All
Canada,132725,0.003940883,394.09,33679000,JavaScript
United States,1202882,0.003877352,387.74,310232863,Ruby
New Zealand,15797,0.003714951,371.5,4252277,PHP
Costa Rica,16295,0.003608106,360.81,4516220,Ruby
Denmark,18999,0.003464442,346.44,5484000,JavaScript
United Kingdom,214407,0.003438851,343.89,62348447,JavaScript
Sao Tome and Principe,598,0.003401438,340.14,175808,JavaScript
American Samoa,195,0.003368981,336.9,57881,All
Marshall Islands,220,0.00334047,334.05,65859,All
Puerto Rico,13035,0.003328115,332.81,3916632,All
Costa Rica,14872,0.003293019,329.3,4516220,JavaScript
Norway,16441,0.003282194,328.22,5009150,Ruby
Niue,7,0.003231764,323.18,2166,JavaScript
Jamaica,9182,0.003224886,322.49,2847232,All
New Zealand,13557,0.003188174,318.82,4252277,C++
Macao,1421,0.003163416,316.34,449198,All
Serbia,23215,0.003160719,316.07,7344847,All
Curacao,444,0.003131922,313.19,141766,All
Macedonia,6285,0.003049491,304.95,2061000,All
Norway,15209,0.003036244,303.62,5009150,Java
Norway,15101,0.003014683,301.47,5009150,Python
Georgia,13627,0.002943197,294.32,4630000,All
Sweden,28117,0.002942373,294.24,9555893,JavaScript
Slovenia,5884,0.002931739,293.17,2007000,Python
New Zealand,12335,0.002900799,290.08,4252277,C
Iceland,877,0.002839015,283.9,308910,JavaScript
Sao Tome and Principe,494,0.002809884,280.99,175808,Python
South Korea,135039,0.002788757,278.88,48422644,All
South Africa,135030,0.002755714,275.57,49000000,All
Switzerland,20818,0.002746076,274.61,7581000,Python
Brazil,549034,0.002730109,273.01,201103330,All
Netherlands,45420,0.002728747,272.87,16645000,JavaScript
Switzerland,20268,0.002673526,267.35,7581000,JavaScript
Denmark,14587,0.00265992,265.99,5484000,PHP
Iceland,818,0.00264802,264.8,308910,Java
Australia,56771,0.002638578,263.86,21515754,JavaScript
United States,816423,0.002631646,263.16,310232863,Python
Malaysia,74408,0.002631608,263.16,28274729,All
Montenegro,1750,0.002624751,262.48,666730,All
Maldives,1024,0.002588146,258.81,395650,All
Latvia,5577,0.002514463,251.45,2217969,JavaScript
Switzerland,19040,0.002511542,251.15,7581000,Java
Estonia,3209,0.002485343,248.53,1291170,C++
New Caledonia,521,0.002406533,240.65,216494,All
Slovenia,4723,0.002353264,235.33,2007000,Java
Montserrat,21,0.002248153,224.82,9341,All
Norway,11032,0.00220237,220.24,5009150,C
Nicaragua,13062,0.002178478,217.85,5995928,All
Netherlands,35573,0.002137158,213.72,16645000,PHP
Austria,17237,0.002100792,210.08,8205000,Java
Finland,10983,0.002094394,209.44,5244000,Java
Estonia,2632,0.002038461,203.85,1291170,Java
Austria,16680,0.002032907,203.29,8205000,JavaScript
Estonia,2558,0.001981149,198.11,1291170,PHP
Canada,66431,0.001972475,197.25,33679000,C++
Iceland,601,0.00194555,194.56,308910,Objective-C
Latvia,4289,0.001933751,193.38,2217969,PHP
Sweden,18205,0.001905107,190.51,9555893,Python
Finland,9943,0.001896072,189.61,5244000,Python
Switzerland,14295,0.001885635,188.56,7581000,PHP
Australia,40476,0.001881226,188.12,21515754,Ruby
Cuba,21326,0.001866935,186.69,11423000,JavaScript
Sri Lanka,40074,0.001862695,186.27,21513990,All
Portugal,19810,0.001855564,185.56,10676000,JavaScript
Isle of Man,139,0.001852123,185.21,75049,Python
Bahrain,1349,0.001827903,182.79,738004,All
Norway,9153,0.001827256,182.73,5009150,PHP
Sweden,17430,0.001824005,182.4,9555893,Java
Norway,9038,0.001804298,180.43,5009150,C++
United Kingdom,109437,0.001755248,175.52,62348447,PHP
Canada,59066,0.001753793,175.38,33679000,PHP
Moldova,7550,0.001746068,174.61,4324000,All
Slovenia,3469,0.00172845,172.85,2007000,JavaScript
Canada,57180,0.001697794,169.78,33679000,Ruby
United Kingdom,105170,0.00168681,168.68,62348447,Ruby
United States,516919,0.001666229,166.62,310232863,Java
United States,516215,0.00166396,166.4,310232863,PHP
Turkey,128144,0.001647008,164.7,77804122,All
Estonia,2107,0.001631853,163.19,1291170,Python
Sweden,15490,0.001620989,162.1,9555893,Ruby
Finland,8437,0.001608886,160.89,5244000,C++
Guadeloupe,706,0.001593679,159.37,443000,All
Costa Rica,7183,0.001590489,159.05,4516220,Python
Uruguay,5509,0.001584412,158.44,3477000,Ruby
Sweden,14953,0.001564794,156.48,9555893,C
France,100819,0.001556608,155.66,64768389,JavaScript
Czech Republic,16182,0.001544674,154.47,10476000,Java
New Zealand,6558,0.001542233,154.22,4252277,Shell
Costa Rica,6959,0.00154089,154.09,4516220,C
Costa Rica,6924,0.001533141,153.31,4516220,PHP
Canada,51481,0.001528579,152.86,33679000,Python
Finland,8009,0.001527269,152.73,5244000,C
United Arab Emirates,7443,0.001495902,149.59,4975593,All
Curacao,211,0.001488368,148.84,141766,Ruby
Slovakia,8048,0.001475344,147.53,5455000,C
Bulgaria,10359,0.001449057,144.91,7148785,JavaScript
Germany,118078,0.001443457,144.35,81802257,JavaScript
Denmark,7904,0.001441284,144.13,5484000,Java
Netherlands,23909,0.001436407,143.64,16645000,Python
Latvia,3170,0.001429235,142.92,2217969,Ruby
France,92517,0.001428428,142.84,64768389,PHP
Guernsey,92,0.001410437,141.04,65228,Ruby
Estonia,1821,0.001410349,141.03,1291170,Ruby
Grenada,147,0.001363409,136.34,107818,All
Czech Republic,13966,0.001333142,133.31,10476000,PHP
Czech Republic,13782,0.001315578,131.56,10476000,JavaScript
Australia,28106,0.001306299,130.63,21515754,PHP
Sweden,12469,0.001304849,130.48,9555893,C++
Czech Republic,13628,0.001300878,130.09,10476000,Ruby
Netherlands,21068,0.001265725,126.57,16645000,Ruby
Belarus,12188,0.001258441,125.84,9685000,Ruby
Philippines,122605,0.001227275,122.73,99900177,All
Switzerland,9276,0.001223585,122.36,7581000,Ruby
Denmark,6709,0.001223377,122.34,5484000,Python
Peru,36502,0.001220517,122.05,29907003,All
Japan,155237,0.001219573,121.96,127288000,C++
Netherlands,20164,0.001211415,121.14,16645000,Java
Saint Helena,9,0.001206434,120.64,7460,PHP
Curacao,171,0.001206213,120.62,141766,JavaScript
Finland,6323,0.001205759,120.58,5244000,PHP
Reunion,936,0.001204714,120.47,776948,All
Chile,19882,0.001187234,118.72,16746491,Python
Denmark,6473,0.001180343,118.03,5484000,C#
Canada,39594,0.001175629,117.56,33679000,Shell
United Kingdom,73196,0.001173983,117.4,62348447,Python
Denmark,6383,0.001163931,116.39,5484000,Ruby
Croatia,5207,0.00115943,115.94,4491000,Ruby
Jersey,104,0.001145223,114.52,90812,JavaScript
France,73029,0.001127541,112.75,64768389,Java
Finland,5855,0.001116514,111.65,5244000,Ruby
Taiwan,25523,0.001114815,111.48,22894384,JavaScript
Austria,9055,0.001103595,110.36,8205000,Ruby
Jersey,100,0.001101176,110.12,90812,Java
Norway,5515,0.001100985,110.1,5009150,C#
Bosnia and Herzegovina,5037,0.001097386,109.74,4590000,All
Canada,36728,0.001090531,109.05,33679000,Java
Croatia,4869,0.001084168,108.42,4491000,JavaScript
Uruguay,3723,0.001070751,107.08,3477000,JavaScript
Germany,86995,0.001063479,106.35,81802257,Ruby
Cayman Islands,47,0.001061667,106.17,44270,All
New Zealand,4514,0.001061549,106.15,4252277,Objective-C
Albania,3134,0.00104923,104.92,2986952,All
Australia,22340,0.001038309,103.83,21515754,Python
Lebanon,4280,0.001037514,103.75,4125247,All
Germany,84783,0.001036438,103.64,81802257,PHP
Germany,84706,0.001035497,103.55,81802257,Java
Sao Tome and Principe,181,0.001029532,102.95,175808,C
Austria,8446,0.001029372,102.94,8205000,Python
San Marino,32,0.001016615,101.66,31477,All
Belgium,10286,0.000988753,98.88,10403000,JavaScript
Barbados,282,0.000987212,98.72,285653,All
United States,302796,0.000976028,97.6,310232863,C
Uruguay,3371,0.000969514,96.95,3477000,Python
Montenegro,641,0.000961409,96.14,666730,JavaScript
Cuba,10955,0.00095903,95.9,11423000,Java
Czech Republic,10023,0.000956758,95.68,10476000,Python
Sri Lanka,20313,0.000944176,94.42,21513990,Java
China,1254713,0.000943362,94.34,1330044000,All
Swaziland,1268,0.000936449,93.64,1354051,All
United Kingdom,57495,0.000922156,92.22,62348447,Java
Belarus,8750,0.000903459,90.35,9685000,JavaScript
United States,278819,0.000898741,89.87,310232863,C++
Armenia,2652,0.000893531,89.35,2968000,JavaScript
Austria,7239,0.000882267,88.23,8205000,PHP
Australia,18923,0.000879495,87.95,21515754,Java
Isle of Man,66,0.000879425,87.94,75049,JavaScript
Netherlands,14589,0.000876479,87.65,16645000,C
Estonia,1128,0.000873626,87.36,1291170,C
Bulgaria,6191,0.000866021,86.6,7148785,Ruby
Netherlands,14361,0.000862782,86.28,16645000,C++
Cyprus,950,0.00086154,86.15,1102677,JavaScript
Greece,9370,0.000851818,85.18,11000000,Python
Hungary,8396,0.000841114,84.11,9982000,Java
Sweden,7996,0.000836761,83.68,9555893,PHP
Portugal,8901,0.000833739,83.37,10676000,Java
Liechtenstein,29,0.000828571,82.86,35000,Ruby
Latvia,1825,0.000822825,82.28,2217969,Python
Mexico,92428,0.00082181,82.18,112468855,All
France,52260,0.000806875,80.69,64768389,Python
El Salvador,4871,0.000804849,80.48,6052064,All
Greece,8775,0.000797727,79.77,11000000,JavaScript
Croatia,3564,0.000793587,79.36,4491000,PHP
Dominican Republic,7792,0.000793174,79.32,9823821,All
U.S. Virgin Islands,86,0.00079111,79.11,108708,All
Norway,3955,0.000789555,78.96,5009150,Shell
Germany,64571,0.000789355,78.94,81802257,Python
Lithuania,2712,0.000760729,76.07,3565000,Ruby
Belgium,7897,0.000759108,75.91,10403000,PHP
Switzerland,5633,0.000743042,74.3,7581000,Shell
Lithuania,2627,0.000736886,73.69,3565000,PHP
Chile,12254,0.000731735,73.17,16746491,Ruby
Iceland,225,0.000728367,72.84,308910,Ruby
Bulgaria,5167,0.00072278,72.28,7148785,PHP
Sao Tome and Principe,127,0.000722379,72.24,175808,Ruby
Isle of Man,54,0.00071953,71.95,75049,Java
Switzerland,5431,0.000716396,71.64,7581000,C++
Honduras,5668,0.000709439,70.94,7989415,All
Romania,15569,0.000708994,70.9,21959278,JavaScript
Portugal,7553,0.000707475,70.75,10676000,Python
Kazakhstan,10644,0.000693872,69.39,15340000,All
Ukraine,31483,0.00069322,69.32,45415596,JavaScript
Austria,5663,0.000690189,69.02,8205000,Objective-C
Liechtenstein,24,0.000685714,68.57,35000,JavaScript
Belarus,6573,0.000678678,67.87,9685000,Java
Chile,11048,0.00065972,65.97,16746491,JavaScript
Liechtenstein,23,0.000657143,65.71,35000,Java
Sweden,6254,0.000654465,65.45,9555893,Shell
United States,202617,0.000653113,65.31,310232863,Shell
Belgium,6756,0.000649428,64.94,10403000,Java
Hungary,6469,0.000648067,64.81,9982000,JavaScript
Qatar,541,0.000643338,64.33,840926,All
Brunei,253,0.000640463,64.05,395027,All
Austria,5148,0.000627422,62.74,8205000,C
New Zealand,2667,0.000627193,62.72,4252277,C#
Canada,21042,0.000624781,62.48,33679000,C
Mauritius,808,0.00062437,62.44,1294104,All
Panama,2126,0.000623337,62.33,3410676,All
Czech Republic,6518,0.000622184,62.22,10476000,C++
Ireland,2859,0.000618441,61.84,4622917,JavaScript
Mongolia,1906,0.000617444,61.74,3086918,All
Paraguay,3935,0.000617175,61.72,6375830,All
Switzerland,4649,0.000613244,61.32,7581000,C
Israel,4476,0.00060865,60.86,7353985,JavaScript
Finland,3190,0.000608314,60.83,5244000,Shell
Costa Rica,2736,0.000605816,60.58,4516220,Java
Lithuania,2152,0.000603647,60.36,3565000,JavaScript
Iceland,186,0.000602117,60.21,308910,Shell
Sweden,5753,0.000602037,60.2,9555893,C#
Ukraine,27337,0.00060193,60.19,45415596,Ruby
Liechtenstein,21,0.0006,60,35000,PHP
Iceland,185,0.00059888,59.89,308910,C#
Czech Republic,6228,0.000594502,59.45,10476000,C
Vietnam,53041,0.000592166,59.22,89571130,All
Dominica,43,0.000590554,59.06,72813,All
Belgium,6038,0.000580409,58.04,10403000,Ruby
Argentina,23239,0.0005621,56.21,41343201,JavaScript
Portugal,5998,0.000561821,56.18,10676000,C
Japan,70801,0.000556227,55.62,127288000,JavaScript
Croatia,2476,0.000551325,55.13,4491000,C++
Bolivia,5471,0.000549992,55,9947418,All
Iceland,169,0.000547085,54.71,308910,PHP
Slovenia,1094,0.000545092,54.51,2007000,PHP
Australia,11672,0.000542486,54.25,21515754,C#
France,34997,0.000540341,54.03,64768389,Ruby
Japan,68709,0.000539792,53.98,127288000,Ruby
Greece,5837,0.000530636,53.06,11000000,Java
Venezuela,14412,0.000529401,52.94,27223228,JavaScript
Georgia,2396,0.000517495,51.75,4630000,Ruby
Denmark,2818,0.000513858,51.39,5484000,C++
Belgium,5285,0.000508027,50.8,10403000,Python
Bulgaria,3617,0.00050596,50.6,7148785,C
Gibraltar,14,0.00050208,50.21,27884,PHP
Thailand,33535,0.000499855,49.99,67089500,All
United States,154823,0.000499054,49.91,310232863,Objective-C
Australia,10587,0.000492058,49.21,21515754,C
Guernsey,32,0.000490587,49.06,65228,JavaScript
Jordan,3131,0.000488678,48.87,6407085,All
Macao,219,0.000487536,48.75,449198,JavaScript
Kenya,19217,0.000479866,47.99,40046566,All
Ukraine,21783,0.000479637,47.96,45415596,PHP
Bulgaria,3418,0.000478123,47.81,7148785,Shell
Tuvalu,5,0.000477464,47.75,10472,PHP
Denmark,2613,0.000476477,47.65,5484000,C
Czech Republic,4985,0.00047585,47.58,10476000,Shell
New Caledonia,102,0.000471145,47.11,216494,JavaScript
Greece,5167,0.000469727,46.97,11000000,C
Portugal,5003,0.000468621,46.86,10676000,Ruby
Netherlands,7797,0.000468429,46.84,16645000,Shell
Hungary,4660,0.00046684,46.68,9982000,PHP
Australia,9886,0.000459477,45.95,21515754,Shell
Belize,143,0.000454658,45.47,314522,All
Latvia,1007,0.000454019,45.4,2217969,C
Serbia,3309,0.00045052,45.05,7344847,JavaScript
United States,138489,0.000446403,44.64,310232863,C#
Ecuador,6596,0.000445959,44.6,14790608,All
United Kingdom,27663,0.000443684,44.37,62348447,C
Slovenia,888,0.000442451,44.25,2007000,Shell
Bulgaria,3147,0.000440215,44.02,7148785,C#
Lithuania,1568,0.000439832,43.98,3565000,Python
Curacao,62,0.00043734,43.73,141766,Java
Germany,35768,0.00043725,43.72,81802257,C
Kyrgyzstan,2395,0.000434773,43.48,5508626,All
Sao Tome and Principe,76,0.00043229,43.23,175808,C++
Greece,4742,0.000431091,43.11,11000000,Ruby
Denmark,2356,0.000429613,42.96,5484000,Shell
Romania,9326,0.000424695,42.47,21959278,PHP
Ireland,1946,0.000420946,42.09,4622917,Java
Martinique,181,0.00041811,41.81,432900,All
Germany,34051,0.00041626,41.63,81802257,C++
Sao Tome and Principe,73,0.000415226,41.52,175808,PHP
Guyana,310,0.000414169,41.42,748486,All
Belarus,3978,0.000410738,41.07,9685000,C++
India,476283,0.000406001,40.6,1173108018,All
Belarus,3885,0.000401136,40.11,9685000,PHP
Belize,126,0.000400608,40.06,314522,Shell
Portugal,4266,0.000399588,39.96,10676000,PHP
Tunisia,4214,0.000397959,39.8,10589025,All
Slovakia,2163,0.000396517,39.65,5455000,Python
Lithuania,1412,0.000396073,39.61,3565000,Java
Colombia,17406,0.000393754,39.38,44205293,JavaScript
United Kingdom,24415,0.00039159,39.16,62348447,C++
Uruguay,1352,0.000388841,38.88,3477000,PHP
Slovenia,779,0.000388142,38.81,2007000,Ruby
Indonesia,93837,0.000386211,38.62,242968342,All
Rwanda,4253,0.000384679,38.47,11055976,All
Latvia,850,0.000383233,38.32,2217969,Java
Slovenia,759,0.000378176,37.82,2007000,C
Poland,14436,0.000374961,37.5,38500000,JavaScript
Liechtenstein,13,0.000371429,37.14,35000,C
Liechtenstein,13,0.000371429,37.14,35000,C++
Northern Mariana Islands,20,0.000371175,37.12,53883,All
Belarus,3588,0.00037047,37.05,9685000,Python
Australia,7905,0.000367405,36.74,21515754,C++
Belgium,3802,0.000365471,36.55,10403000,C++
Georgia,1686,0.000364147,36.41,4630000,Java
Cambodia,5261,0.00036399,36.4,14453680,All
Austria,2984,0.000363681,36.37,8205000,C#
Macedonia,749,0.000363416,36.34,2061000,JavaScript
France,23483,0.000362569,36.26,64768389,C
United Kingdom,22542,0.000361549,36.15,62348447,Shell
South Africa,17672,0.000360653,36.07,49000000,Python
Antigua and Barbuda,31,0.000357332,35.73,86754,All
Canada,11903,0.000353425,35.34,33679000,C#
Costa Rica,1593,0.000352729,35.27,4516220,Shell
Namibia,750,0.000352366,35.24,2128471,All
Slovakia,1921,0.000352154,35.22,5455000,C++
Malaysia,9938,0.00035148,35.15,28274729,PHP
Romania,7676,0.000349556,34.96,21959278,Java
Uruguay,1206,0.000346851,34.69,3477000,Java
Croatia,1557,0.000346693,34.67,4491000,Shell
Sweden,3313,0.000346697,34.67,9555893,Objective-C
Belarus,3313,0.000342075,34.21,9685000,C
Chile,5653,0.000337563,33.76,16746491,PHP
French Guiana,66,0.000337586,33.76,195506,All
Hungary,3369,0.000337508,33.75,9982000,Ruby
Lithuania,1182,0.000331557,33.16,3565000,C++
Argentina,13708,0.000331566,33.16,41343201,Ruby
Jersey,30,0.000330353,33.04,90812,Ruby
Ukraine,14974,0.000329711,32.97,45415596,Java
Iran,25305,0.000328964,32.9,76923300,All
Jamaica,933,0.000327687,32.77,2847232,JavaScript
Moldova,1417,0.000327706,32.77,4324000,PHP
Serbia,2396,0.000326215,32.62,7344847,Ruby
Benin,2938,0.000324425,32.44,9056010,All
Greece,3567,0.000324273,32.43,11000000,PHP
Romania,7055,0.000321277,32.13,21959278,Python
Malawi,4957,0.000320893,32.09,15447500,All
Costa Rica,1446,0.000320179,32.02,4516220,C++
Poland,12306,0.000319636,31.96,38500000,Ruby
Georgia,1475,0.000318575,31.86,4630000,JavaScript
Ukraine,14397,0.000317006,31.7,45415596,Python
Venezuela,8561,0.000314474,31.45,27223228,PHP
Iceland,97,0.000314007,31.4,308910,C
Austria,2571,0.000313346,31.33,8205000,C++
Bahamas,94,0.000311475,31.15,301790,Python
Germany,25270,0.000308916,30.89,81802257,Shell
Japan,39092,0.000307115,30.71,127288000,C
Guernsey,20,0.000306617,30.66,65228,PHP
Israel,2252,0.000306229,30.62,7353985,Python
South Korea,14771,0.000305043,30.5,48422644,JavaScript
