Country,Commit Count,Commits per Capita,"Commits per 100,000 People",Population,Language
Slovenia,611,0.000304434,30.44,2007000,C++
France,19670,0.000303698,30.37,64768389,C++
Kuwait,844,0.000302603,30.26,2789132,All
Russia,42216,0.000300038,30,140702000,JavaScript
Taiwan,6865,0.000299855,29.99,22894384,PHP
Estonia,385,0.000298179,29.82,1291170,Shell
Taiwan,6732,0.000294046,29.4,22894384,C++
Costa Rica,1327,0.00029383,29.38,4516220,Objective-C
Costa Rica,1310,0.000290066,29.01,4516220,C#
Taiwan,6578,0.000287319,28.73,22894384,Ruby
Gibraltar,8,0.000286903,28.69,27884,JavaScript
South Africa,14045,0.000286633,28.66,49000000,JavaScript
Bulgaria,2040,0.000285363,28.54,7148785,Python
Greenland,16,0.000283814,28.38,56375,All
Taiwan,6493,0.000283607,28.36,22894384,Python
Honduras,2249,0.000281497,28.15,7989415,JavaScript
Luxembourg,140,0.000281386,28.14,497538,Java
Colombia,12387,0.000280215,28.02,44205293,Ruby
Italy,16609,0.000275255,27.53,60340328,JavaScript
Ghana,6579,0.000270298,27.03,24339838,All
Slovenia,538,0.000268062,26.81,2007000,Objective-C
Spain,12450,0.000267708,26.77,46505963,JavaScript
Bulgaria,1907,0.000266759,26.68,7148785,Java
Italy,16077,0.000266439,26.64,60340328,Python
Poland,10186,0.000264571,26.46,38500000,Python
Macedonia,545,0.000264435,26.44,2061000,PHP
Guatemala,3574,0.000263755,26.38,13550440,All
Bosnia and Herzegovina,1208,0.000263181,26.32,4590000,Shell
Belgium,2733,0.000262713,26.27,10403000,C
Austria,2146,0.000261548,26.15,8205000,Shell
Croatia,1168,0.000260076,26.01,4491000,Python
Venezuela,7071,0.000259741,25.97,27223228,Ruby
Greece,2820,0.000256364,25.64,11000000,C++
France,16542,0.000255402,25.54,64768389,Shell
Russia,35781,0.000254303,25.43,140702000,Objective-C
Hungary,2529,0.000253356,25.34,9982000,C
Moldova,1093,0.000252775,25.28,4324000,Ruby
Latvia,556,0.00025068,25.07,2217969,C++
Portugal,2661,0.000249251,24.93,10676000,C++
Poland,9518,0.000247221,24.72,38500000,Java
Mayotte,39,0.000245218,24.52,159042,All
Jamaica,696,0.000244448,24.44,2847232,PHP
Saudi Arabia,6275,0.000243862,24.39,25731776,All
Russia,33895,0.000240899,24.09,140702000,Ruby
Nicaragua,1430,0.000238495,23.85,5995928,JavaScript
Slovakia,1298,0.000237947,23.79,5455000,JavaScript
Ireland,1095,0.000236863,23.69,4622917,C
Nepal,6778,0.000234113,23.41,28951852,All
Georgia,1082,0.000233693,23.37,4630000,PHP
Belarus,2239,0.000231182,23.12,9685000,C#
South Korea,11191,0.000231111,23.11,48422644,Java
Lithuania,813,0.00022805,22.81,3565000,Shell
Romania,4988,0.000227148,22.71,21959278,Ruby
Israel,1667,0.00022668,22.67,7353985,Java
Malaysia,6364,0.000225077,22.51,28274729,JavaScript
Slovakia,1217,0.000223098,22.31,5455000,Shell
Chile,3726,0.000222494,22.25,16746491,Shell
Ireland,1025,0.000221721,22.17,4622917,Python
Canada,7429,0.000220583,22.06,33679000,Objective-C
Sri Lanka,4736,0.000220136,22.01,21513990,PHP
Poland,8465,0.00021987,21.99,38500000,PHP
Hungary,2166,0.000216991,21.7,9982000,C++
Norway,1086,0.000216803,21.68,5009150,Objective-C
Madagascar,4595,0.000215912,21.59,21281844,All
Russia,29745,0.000211404,21.14,140702000,Python
Macedonia,434,0.000210577,21.06,2061000,Ruby
Cyprus,232,0.000210397,21.04,1102677,PHP
Azerbaijan,1725,0.000207743,20.77,8303512,All
Croatia,929,0.000206858,20.69,4491000,Java
United Kingdom,12896,0.000206838,20.68,62348447,Objective-C
Colombia,9073,0.000205247,20.52,44205293,Python
Moldova,886,0.000204903,20.49,4324000,JavaScript
Venezuela,5561,0.000204274,20.43,27223228,Python
Netherlands,3370,0.000202463,20.25,16645000,C#
Brunei,80,0.000202518,20.25,395027,Java
Syria,4436,0.000199837,19.98,22198110,All
Israel,1467,0.000199484,19.95,7353985,Ruby
Nicaragua,1186,0.000197801,19.78,5995928,Java
Estonia,253,0.000195946,19.59,1291170,C#
Chile,3277,0.000195683,19.57,16746491,Java
Bahamas,57,0.000188873,18.89,301790,Ruby
Portugal,2016,0.000188835,18.88,10676000,Shell
Estonia,242,0.000187427,18.74,1291170,Objective-C
Sint Maarten,7,0.000187021,18.7,37429,Shell
Belgium,1942,0.000186677,18.67,10403000,Shell
Greece,2052,0.000186545,18.65,11000000,Shell
Uganda,6184,0.000185157,18.52,33398682,All
Nicaragua,1103,0.000183958,18.4,5995928,Python
Italy,11089,0.000183774,18.38,60340328,Ruby
Jamaica,519,0.000182282,18.23,2847232,Python
Spain,8431,0.000181289,18.13,46505963,Ruby
Colombia,8003,0.000181042,18.1,44205293,PHP
Kyrgyzstan,995,0.000180626,18.06,5508626,Ruby
Finland,943,0.000179825,17.98,5244000,C#
Ukraine,8121,0.000178815,17.88,45415596,C++
Argentina,7340,0.000177538,17.75,41343201,Python
Japan,22577,0.000177369,17.74,127288000,PHP
Egypt,14263,0.000177242,17.72,80471869,All
Georgia,817,0.000176458,17.65,4630000,Python
Bulgaria,1241,0.000173596,17.36,7148785,C++
Argentina,7170,0.000173426,17.34,41343201,Java
South Korea,8376,0.000172977,17.3,48422644,Python
Italy,10376,0.000171958,17.2,60340328,PHP
United Arab Emirates,852,0.000171236,17.12,4975593,JavaScript
Argentina,7076,0.000171153,17.12,41343201,PHP
Slovakia,934,0.000171219,17.12,5455000,PHP
Denmark,934,0.000170314,17.03,5484000,Objective-C
Comoros,131,0.00016938,16.94,773407,All
Fiji,146,0.00016667,16.67,875983,All
Latvia,369,0.000166368,16.64,2217969,Shell
Poland,6390,0.000165974,16.6,38500000,C
Italy,9999,0.00016571,16.57,60340328,Java
Hungary,1636,0.000163895,16.39,9982000,Python
Rwanda,1788,0.000161722,16.17,11055976,Java
Qatar,135,0.000160537,16.05,840926,JavaScript
Belarus,1553,0.000160351,16.04,9685000,Shell
Japan,20290,0.000159402,15.94,127288000,Java
Mongolia,489,0.00015841,15.84,3086918,Ruby
Croatia,705,0.000156981,15.7,4491000,C
Uruguay,546,0.000157032,15.7,3477000,C
Ireland,726,0.000157044,15.7,4622917,Ruby
Germany,12738,0.000155717,15.57,81802257,Objective-C
Sri Lanka,3337,0.000155108,15.51,21513990,JavaScript
Jersey,14,0.000154165,15.42,90812,Shell
Portugal,1633,0.00015296,15.3,10676000,Objective-C
Jordan,977,0.000152487,15.25,6407085,JavaScript
Switzerland,1151,0.000151827,15.18,7581000,Objective-C
Serbia,1106,0.000150582,15.06,7344847,Java
South Africa,7363,0.000150265,15.03,49000000,PHP
Croatia,671,0.00014941,14.94,4491000,C#
Armenia,435,0.000146563,14.66,2968000,PHP
Russia,20629,0.000146615,14.66,140702000,PHP
Latvia,324,0.00014608,14.61,2217969,Objective-C
Israel,1071,0.000145635,14.56,7353985,C
Colombia,6416,0.000145141,14.51,44205293,C++
Hungary,1441,0.00014436,14.44,9982000,Shell
Malta,58,0.000143921,14.39,403000,Java
Australia,3089,0.000143569,14.36,21515754,Objective-C
Switzerland,1086,0.000143253,14.33,7581000,C#
Taiwan,3279,0.000143223,14.32,22894384,C
Finland,749,0.00014283,14.28,5244000,Objective-C
Senegal,1758,0.000142657,14.27,12323252,All
Russia,19918,0.000141562,14.16,140702000,C++
Macedonia,287,0.000139253,13.93,2061000,Python
Malta,56,0.000138958,13.9,403000,PHP
Lithuania,495,0.00013885,13.88,3565000,C#
Lithuania,493,0.000138289,13.83,3565000,C
Uruguay,480,0.00013805,13.81,3477000,Shell
Czech Republic,1427,0.000136216,13.62,10476000,C#
Botswana,276,0.000136007,13.6,2029307,All
Netherlands,2262,0.000135897,13.59,16645000,Objective-C
Bosnia and Herzegovina,621,0.000135294,13.53,4590000,Ruby
Czech Republic,1409,0.000134498,13.45,10476000,Objective-C
Kosovo,241,0.000133889,13.39,1800000,All
Sint Maarten,5,0.000133586,13.36,37429,Python
Cuba,1522,0.00013324,13.32,11423000,Ruby
Japan,16662,0.0001309,13.09,127288000,Python
Poland,5018,0.000130338,13.03,38500000,Shell
Ukraine,5896,0.000129823,12.98,45415596,C
Morocco,4104,0.000129761,12.98,31627428,All
South Africa,6333,0.000129245,12.92,49000000,Java
Russia,18055,0.000128321,12.83,140702000,Java
Kazakhstan,1960,0.000127771,12.78,15340000,PHP
Germany,10449,0.000127735,12.77,81802257,C#
Venezuela,3469,0.000127428,12.74,27223228,Java
Belarus,1189,0.000122767,12.28,9685000,Objective-C
Taiwan,2810,0.000122738,12.27,22894384,Shell
Colombia,5414,0.000122474,12.25,44205293,Java
Swaziland,165,0.000121857,12.19,1354051,Shell
Jersey,11,0.000121129,12.11,90812,C#
Belgium,1253,0.000120446,12.04,10403000,Objective-C
Chile,2012,0.000120145,12.01,16746491,C
Italy,7227,0.000119771,11.98,60340328,C
Ukraine,5386,0.000118594,11.86,45415596,C#
Italy,7124,0.000118064,11.81,60340328,C++
East Timor,136,0.000117787,11.78,1154625,All
Romania,2582,0.000117581,11.76,21959278,Shell
Spain,5463,0.000117469,11.75,46505963,Python
Bhutan,82,0.000117168,11.72,699847,JavaScript
Bhutan,82,0.000117168,11.72,699847,All
South Africa,5714,0.000116612,11.66,49000000,Ruby
Brunei,46,0.000116448,11.64,395027,Objective-C
Poland,4460,0.000115844,11.58,38500000,C++
Cuba,1311,0.000114768,11.48,11423000,Objective-C
Ukraine,5106,0.000112428,11.24,45415596,Shell
Luxembourg,55,0.000110544,11.05,497538,JavaScript
Brazil,21979,0.000109292,10.93,201103330,JavaScript
Macao,49,0.000109083,10.91,449198,Python
Cyprus,120,0.000108826,10.88,1102677,Python
Guadeloupe,48,0.000108352,10.84,443000,C++
Moldova,468,0.000108233,10.82,4324000,Python
Turkey,8235,0.000105843,10.58,77804122,JavaScript
Serbia,777,0.000105788,10.58,7344847,PHP
South Korea,5097,0.000105261,10.53,48422644,Ruby
Bangladesh,16298,0.000104395,10.44,156118464,All
Malta,42,0.000104218,10.42,403000,C++
Croatia,467,0.000103986,10.4,4491000,Objective-C
Faroe Islands,5,0.000103674,10.37,48228,C++
Lebanon,425,0.000103024,10.3,4125247,JavaScript
Belgium,1068,0.000102663,10.27,10403000,C#
Malta,41,0.000101737,10.17,403000,C#
Ecuador,1499,0.000101348,10.13,14790608,JavaScript
Macedonia,206,1.00E-04,10,2061000,Java
Cyprus,110,9.98E-05,9.98,1102677,C++
Japan,12677,9.96E-05,9.96,127288000,Shell
Albania,296,9.91E-05,9.91,2986952,PHP
Macedonia,204,9.90E-05,9.9,2061000,C++
Romania,2161,9.84E-05,9.84,21959278,C
Slovakia,530,9.72E-05,9.72,5455000,Java
Cuba,1108,9.70E-05,9.7,11423000,Python
Nicaragua,573,9.56E-05,9.56,5995928,Ruby
Serbia,697,9.49E-05,9.49,7344847,Python
Philippines,9403,9.41E-05,9.41,99900177,JavaScript
Macao,42,9.35E-05,9.35,449198,C
Uzbekistan,2604,9.34E-05,9.34,27865738,All
Ireland,429,9.28E-05,9.28,4622917,PHP
China,121798,9.16E-05,9.16,1330044000,JavaScript
Taiwan,2083,9.10E-05,9.1,22894384,Java
Slovakia,495,9.07E-05,9.07,5455000,C#
Tonga,11,8.97E-05,8.97,122580,Java
Spain,4159,8.94E-05,8.94,46505963,Java
Luxembourg,44,8.84E-05,8.84,497538,Python
Taiwan,2014,8.80E-05,8.8,22894384,Objective-C
Spain,4091,8.80E-05,8.8,46505963,PHP
Bosnia and Herzegovina,403,8.78E-05,8.78,4590000,JavaScript
Algeria,3038,8.78E-05,8.78,34586184,All
Kazakhstan,1341,8.74E-05,8.74,15340000,Ruby
South Korea,4199,8.67E-05,8.67,48422644,C
Russia,12198,8.67E-05,8.67,140702000,C
Turkey,6698,8.61E-05,8.61,77804122,Java
Mali,1182,8.57E-05,8.57,13796354,JavaScript
Singapore,401,8.53E-05,8.53,4701069,PHP
France,5418,8.37E-05,8.37,64768389,C#
East Timor,96,8.31E-05,8.31,1154625,Python
Kenya,3322,8.30E-05,8.3,40046566,JavaScript
Malaysia,2341,8.28E-05,8.28,28274729,Ruby
France,5290,8.17E-05,8.17,64768389,Objective-C
Romania,1776,8.09E-05,8.09,21959278,C++
Malaysia,2288,8.09E-05,8.09,28274729,Python
Sint Maarten,3,8.02E-05,8.02,37429,PHP
Isle of Man,6,7.99E-05,7.99,75049,Objective-C
Sao Tome and Principe,14,7.96E-05,7.96,175808,C#
Venezuela,2165,7.95E-05,7.95,27223228,Shell
South Korea,3846,7.94E-05,7.94,48422644,C++
Ukraine,3584,7.89E-05,7.89,45415596,Objective-C
Jamaica,224,7.87E-05,7.87,2847232,Java
Brazil,15783,7.85E-05,7.85,201103330,Ruby
Philippines,7800,7.81E-05,7.81,99900177,Ruby
South Africa,3814,7.78E-05,7.78,49000000,C
Chile,1303,7.78E-05,7.78,16746491,C++
Israel,571,7.76E-05,7.76,7353985,PHP
Chile,1282,7.66E-05,7.66,16746491,C#
Montenegro,51,7.65E-05,7.65,666730,Ruby
Serbia,560,7.62E-05,7.62,7344847,C++
Argentina,3141,7.60E-05,7.6,41343201,C
Sierra Leone,394,7.51E-05,7.51,5245695,All
Kenya,3002,7.50E-05,7.5,40046566,Python
Armenia,221,7.45E-05,7.45,2968000,Java
Hungary,741,7.42E-05,7.42,9982000,C#
Honduras,592,7.41E-05,7.41,7989415,Python
Gambia,115,7.22E-05,7.22,1593256,All
Malta,29,7.20E-05,7.2,403000,Ruby
Bahrain,53,7.18E-05,7.18,738004,Python
Mali,988,7.16E-05,7.16,13796354,Python
Azerbaijan,588,7.08E-05,7.08,8303512,Ruby
Cuba,807,7.06E-05,7.06,11423000,PHP
Ireland,323,6.99E-05,6.99,4622917,Shell
Lebanon,286,6.93E-05,6.93,4125247,Objective-C
Argentina,2856,6.91E-05,6.91,41343201,C++
Venezuela,1876,6.89E-05,6.89,27223228,C++
Israel,501,6.81E-05,6.81,7353985,Shell
Kazakhstan,1044,6.81E-05,6.81,15340000,JavaScript
Pakistan,12520,6.79E-05,6.79,184404791,All
Guadeloupe,30,6.77E-05,6.77,443000,Shell
Cameroon,1300,6.74E-05,6.74,19294149,All
Somalia,679,6.71E-05,6.71,10112453,All
Malaysia,1893,6.70E-05,6.7,28274729,Java
Serbia,489,6.66E-05,6.66,7344847,Objective-C
Kenya,2661,6.64E-05,6.64,40046566,PHP
Kuwait,184,6.60E-05,6.6,2789132,PHP
Jamaica,187,6.57E-05,6.57,2847232,Ruby
Moldova,283,6.54E-05,6.54,4324000,Shell
Bosnia and Herzegovina,297,6.47E-05,6.47,4590000,C++
Brazil,13012,6.47E-05,6.47,201103330,Java
Nicaragua,385,6.42E-05,6.42,5995928,PHP
Turkey,4998,6.42E-05,6.42,77804122,Python
Moldova,277,6.41E-05,6.41,4324000,Java
Venezuela,1735,6.37E-05,6.37,27223228,C
Serbia,468,6.37E-05,6.37,7344847,C
Cyprus,70,6.35E-05,6.35,1102677,Java
Liberia,234,6.35E-05,6.35,3685076,All
Cambodia,914,6.32E-05,6.32,14453680,PHP
Saint Lucia,10,6.21E-05,6.21,160922,JavaScript
Cyprus,68,6.17E-05,6.17,1102677,Shell
Cambodia,889,6.15E-05,6.15,14453680,Java
Japan,7711,6.06E-05,6.06,127288000,Objective-C
Slovakia,330,6.05E-05,6.05,5455000,Ruby
Luxembourg,30,6.03E-05,6.03,497538,Ruby
Armenia,178,6.00E-05,6,2968000,C++
Malta,24,5.96E-05,5.96,403000,JavaScript
Taiwan,1357,5.93E-05,5.93,22894384,C#
Burkina Faso,961,5.92E-05,5.92,16241811,All
Lebanon,244,5.91E-05,5.91,4125247,Python
Senegal,718,5.83E-05,5.83,12323252,Ruby
Italy,3513,5.82E-05,5.82,60340328,Shell
Portugal,616,5.77E-05,5.77,10676000,C#
Liechtenstein,2,5.71E-05,5.71,35000,Shell
Israel,418,5.68E-05,5.68,7353985,Objective-C
Suriname,28,5.68E-05,5.68,492829,All
Curacao,8,5.64E-05,5.64,141766,PHP
Cyprus,62,5.62E-05,5.62,1102677,Ruby
Venezuela,1527,5.61E-05,5.61,27223228,C#
Vietnam,4996,5.58E-05,5.58,89571130,Java
Kazakhstan,855,5.57E-05,5.57,15340000,Python
Chile,931,5.56E-05,5.56,16746491,Objective-C
French Polynesia,15,5.55E-05,5.55,270485,All
Philippines,5535,5.54E-05,5.54,99900177,Python
Peru,1642,5.49E-05,5.49,29907003,JavaScript
Malaysia,1544,5.46E-05,5.46,28274729,C
Lebanon,224,5.43E-05,5.43,4125247,PHP
Isle of Man,4,5.33E-05,5.33,75049,C++
Jordan,340,5.31E-05,5.31,6407085,Ruby
Malawi,817,5.29E-05,5.29,15447500,Ruby
Uganda,1762,5.28E-05,5.28,33398682,Python
Thailand,3537,5.27E-05,5.27,67089500,JavaScript
Gambia,84,5.27E-05,5.27,1593256,JavaScript
Panama,179,5.25E-05,5.25,3410676,Java
Slovenia,102,5.08E-05,5.08,2007000,C#
Spain,2362,5.08E-05,5.08,46505963,C++
Ireland,231,5.00E-05,5,4622917,C++
Brazil,10012,4.98E-05,4.98,201103330,Python
Iran,3817,4.96E-05,4.96,76923300,PHP
Montenegro,33,4.95E-05,4.95,666730,Java
Jamaica,141,4.95E-05,4.95,2847232,C++
El Salvador,299,4.94E-05,4.94,6052064,Python
Argentina,2040,4.93E-05,4.93,41343201,C#
Bulgaria,345,4.83E-05,4.83,7148785,Objective-C
Cuba,540,4.73E-05,4.73,11423000,C++
South Korea,2288,4.73E-05,4.73,48422644,Objective-C
United Arab Emirates,235,4.72E-05,4.72,4975593,Python
Cambodia,677,4.68E-05,4.68,14453680,JavaScript
Philippines,4673,4.68E-05,4.68,99900177,Objective-C
Vietnam,4192,4.68E-05,4.68,89571130,Ruby
Spain,2172,4.67E-05,4.67,46505963,C
Cuba,524,4.59E-05,4.59,11423000,Shell
Lebanon,189,4.58E-05,4.58,4125247,Ruby
Cyprus,50,4.53E-05,4.53,1102677,C#
Slovakia,247,4.53E-05,4.53,5455000,Objective-C
Cuba,516,4.52E-05,4.52,11423000,C
South Korea,2180,4.50E-05,4.5,48422644,PHP
Bosnia and Herzegovina,204,4.44E-05,4.44,4590000,C#
Cyprus,49,4.44E-05,4.44,1102677,C
Tajikistan,332,4.43E-05,4.43,7487489,All
Malaysia,1238,4.38E-05,4.38,28274729,C++
Puerto Rico,171,4.37E-05,4.37,3916632,JavaScript
Turkey,3352,4.31E-05,4.31,77804122,C++
Bahamas,13,4.31E-05,4.31,301790,JavaScript
Mexico,4835,4.30E-05,4.3,112468855,Java
Vietnam,3852,4.30E-05,4.3,89571130,JavaScript
Iran,3304,4.30E-05,4.3,76923300,JavaScript
Guadeloupe,19,4.29E-05,4.29,443000,JavaScript
Colombia,1892,4.28E-05,4.28,44205293,C
Romania,935,4.26E-05,4.26,21959278,C#
Israel,313,4.26E-05,4.26,7353985,C++
Cambodia,606,4.19E-05,4.19,14453680,Ruby
Kenya,1674,4.18E-05,4.18,40046566,Java
Russia,5797,4.12E-05,4.12,140702000,Shell
Dominica,3,4.12E-05,4.12,72813,JavaScript
Georgia,188,4.06E-05,4.06,4630000,Objective-C
Dominican Republic,399,4.06E-05,4.06,9823821,PHP
Philippines,4037,4.04E-05,4.04,99900177,PHP
Romania,876,3.99E-05,3.99,21959278,Objective-C
Bosnia and Herzegovina,183,3.99E-05,3.99,4590000,PHP
Benin,357,3.94E-05,3.94,9056010,JavaScript
Indonesia,9578,3.94E-05,3.94,242968342,PHP
Armenia,117,3.94E-05,3.94,2968000,Python
Argentina,1624,3.93E-05,3.93,41343201,Shell
Colombia,1723,3.90E-05,3.9,44205293,Shell
Malawi,601,3.89E-05,3.89,15447500,JavaScript
Thailand,2603,3.88E-05,3.88,67089500,Python
Moldova,165,3.82E-05,3.82,4324000,C
Kyrgyzstan,210,3.81E-05,3.81,5508626,JavaScript
Qatar,32,3.81E-05,3.81,840926,Objective-C
Uruguay,132,3.80E-05,3.8,3477000,C++
Georgia,175,3.78E-05,3.78,4630000,Shell
El Salvador,229,3.78E-05,3.78,6052064,JavaScript
Spain,1739,3.74E-05,3.74,46505963,Shell
Philippines,3724,3.73E-05,3.73,99900177,Java
South Africa,1807,3.69E-05,3.69,49000000,C++
Kosovo,66,3.67E-05,3.67,1800000,PHP
Poland,1401,3.64E-05,3.64,38500000,Objective-C
Indonesia,8727,3.59E-05,3.59,242968342,JavaScript
Iceland,11,3.56E-05,3.56,308910,C++
Thailand,2367,3.53E-05,3.53,67089500,Ruby
El Salvador,213,3.52E-05,3.52,6052064,Ruby
Honduras,280,3.50E-05,3.5,7989415,Ruby
Palestinian Territory,133,3.50E-05,3.5,3800000,All
India,40729,3.47E-05,3.47,1173108018,JavaScript
Brazil,6907,3.43E-05,3.43,201103330,PHP
Israel,249,3.39E-05,3.39,7353985,C#
Bolivia,336,3.38E-05,3.38,9947418,PHP
Liberia,124,3.36E-05,3.36,3685076,Ruby
China,44421,3.34E-05,3.34,1330044000,Ruby
South Korea,1601,3.31E-05,3.31,48422644,Shell
Armenia,98,3.30E-05,3.3,2968000,C
Brunei,13,3.29E-05,3.29,395027,Shell
Mexico,3694,3.28E-05,3.28,112468855,JavaScript
China,43292,3.25E-05,3.25,1330044000,Python
Rwanda,358,3.24E-05,3.24,11055976,JavaScript
Moldova,140,3.24E-05,3.24,4324000,Objective-C
Nicaragua,193,3.22E-05,3.22,5995928,C++
Sierra Leone,169,3.22E-05,3.22,5245695,JavaScript
Hungary,321,3.22E-05,3.22,9982000,Objective-C
Qatar,27,3.21E-05,3.21,840926,C++
Ecuador,473,3.20E-05,3.2,14790608,Ruby
Peru,953,3.19E-05,3.19,29907003,Ruby
Syria,707,3.18E-05,3.18,22198110,Ruby
Mauritius,41,3.17E-05,3.17,1294104,PHP
Italy,1872,3.10E-05,3.1,60340328,C#
Spain,1442,3.10E-05,3.1,46505963,Objective-C
Ghana,752,3.09E-05,3.09,24339838,Ruby
Qatar,26,3.09E-05,3.09,840926,Ruby
South Africa,1504,3.07E-05,3.07,49000000,C#
China,40611,3.05E-05,3.05,1330044000,Java
Namibia,64,3.01E-05,3.01,2128471,PHP
Ghana,724,2.97E-05,2.97,24339838,PHP
Turkey,2308,2.97E-05,2.97,77804122,PHP
Peru,878,2.94E-05,2.94,29907003,PHP
Papua New Guinea,178,2.94E-05,2.94,6064515,All
Guadeloupe,13,2.93E-05,2.93,443000,C
Spain,1338,2.88E-05,2.88,46505963,C#
Albania,86,2.88E-05,2.88,2986952,JavaScript
Ghana,698,2.87E-05,2.87,24339838,Java
Hong Kong,198,2.87E-05,2.87,6898686,Ruby
Ghana,696,2.86E-05,2.86,24339838,JavaScript
Italy,1720,2.85E-05,2.85,60340328,Objective-C
United Arab Emirates,141,2.83E-05,2.83,4975593,Ruby
Kyrgyzstan,154,2.80E-05,2.8,5508626,PHP
Mongolia,86,2.79E-05,2.79,3086918,JavaScript
South Africa,1354,2.76E-05,2.76,49000000,Shell
Serbia,203,2.76E-05,2.76,7344847,Shell
Puerto Rico,108,2.76E-05,2.76,3916632,Ruby
Dominica,2,2.75E-05,2.75,72813,C#
Jamaica,75,2.63E-05,2.63,2847232,Shell
Russia,3677,2.61E-05,2.61,140702000,C#
Nigeria,3981,2.59E-05,2.59,154000000,All
Ecuador,377,2.55E-05,2.55,14790608,Java
Vietnam,2281,2.55E-05,2.55,89571130,PHP
Kyrgyzstan,140,2.54E-05,2.54,5508626,Python
Kenya,1005,2.51E-05,2.51,40046566,Ruby
China,33099,2.49E-05,2.49,1330044000,C
Thailand,1672,2.49E-05,2.49,67089500,PHP
Mongolia,77,2.49E-05,2.49,3086918,Python
Azerbaijan,205,2.47E-05,2.47,8303512,JavaScript
Singapore,116,2.47E-05,2.47,4701069,Ruby
Botswana,50,2.46E-05,2.46,2029307,PHP
Tonga,3,2.45E-05,2.45,122580,JavaScript
Nepal,706,2.44E-05,2.44,28951852,Java
Turkey,1900,2.44E-05,2.44,77804122,Ruby
Luxembourg,12,2.41E-05,2.41,497538,PHP
Mauritius,31,2.40E-05,2.4,1294104,C++
Mexico,2693,2.39E-05,2.39,112468855,Ruby
Jordan,150,2.34E-05,2.34,6407085,C++
Nicaragua,139,2.32E-05,2.32,5995928,Shell
Bahamas,7,2.32E-05,2.32,301790,PHP
Brazil,4652,2.31E-05,2.31,201103330,C
Poland,881,2.29E-05,2.29,38500000,C#
Uruguay,79,2.27E-05,2.27,3477000,C#
Colombia,1002,2.27E-05,2.27,44205293,C#
Malta,9,2.23E-05,2.23,403000,Shell
Turkey,1737,2.23E-05,2.23,77804122,C#
Macao,10,2.23E-05,2.23,449198,Objective-C
Luxembourg,11,2.21E-05,2.21,497538,C++
Tunisia,233,2.20E-05,2.2,10589025,JavaScript
Jamaica,62,2.18E-05,2.18,2847232,C
Moldova,94,2.17E-05,2.17,4324000,C#
Eritrea,124,2.14E-05,2.14,5792984,All
Zambia,287,2.13E-05,2.13,13460305,All
Nepal,604,2.09E-05,2.09,28951852,PHP
Nicaragua,125,2.08E-05,2.08,5995928,C#
Malaysia,582,2.06E-05,2.06,28274729,Shell
